prompt,cluster,sub_class
Create a detailed response for a user seeking booking and reservation assistance under the category of travel and leisure.,Travel and Leisure,Booking and Reservation Assistance
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
Create a detailed response for a user seeking cryptocurrency and blockchain under the category of finance and economics.,Finance and Economics,Cryptocurrency and Blockchain
Create a detailed response for a user seeking gardening and landscaping under the category of lifestyle and hobbies.,Lifestyle and Hobbies,Gardening and Landscaping
Create a detailed response for a user seeking robotics and automation under the category of science and technology.,Science and Technology,Robotics and Automation
Create a detailed response for a user seeking coding and programming assistance under the category of programming and development.,Programming and Development,Coding and Programming Assistance
Create a detailed response for a user seeking compliance guidance under the category of legal and compliance.,Legal and Compliance,Compliance Guidance
Create a detailed response for a user seeking fashion and styling advice under the category of lifestyle and hobbies.,Lifestyle and Hobbies,Fashion and Styling Advice
Create a detailed response for a user seeking online tutoring under the category of education and learning.,Education and Learning,Online Tutoring
Create a detailed response for a user seeking meditation and mindfulness under the category of healthcare and wellness.,Healthcare and Wellness,Meditation and Mindfulness
Create a detailed response for a user seeking diy and crafts under the category of lifestyle and hobbies.,Lifestyle and Hobbies,DIY and Crafts
Create a detailed response for a user seeking local guides and tips under the category of travel and leisure.,Travel and Leisure,Local Guides and Tips
Create a detailed response for a user seeking cryptocurrency and blockchain under the category of finance and economics.,Finance and Economics,Cryptocurrency and Blockchain
Create a detailed response for a user seeking personal finance management under the category of finance and economics.,Finance and Economics,Personal Finance Management
Create a detailed response for a user seeking economic analysis under the category of finance and economics.,Finance and Economics,Economic Analysis
Create a detailed response for a user seeking meditation and mindfulness under the category of healthcare and wellness.,Healthcare and Wellness,Meditation and Mindfulness
Create a detailed response for a user seeking meditation and mindfulness under the category of healthcare and wellness.,Healthcare and Wellness,Meditation and Mindfulness
Create a detailed response for a user seeking economic analysis under the category of finance and economics.,Finance and Economics,Economic Analysis
Create a detailed response for a user seeking gardening and landscaping under the category of lifestyle and hobbies.,Lifestyle and Hobbies,Gardening and Landscaping
Create a detailed response for a user seeking economic analysis under the category of finance and economics.,Finance and Economics,Economic Analysis
Create a detailed response for a user seeking presentation creation under the category of business and productivity.,Business and Productivity,Presentation Creation
Create a detailed response for a user seeking robotics and automation under the category of science and technology.,Science and Technology,Robotics and Automation
Create a detailed response for a user seeking email generation under the category of business and productivity.,Business and Productivity,Email Generation
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
Create a detailed response for a user seeking chatbots and virtual assistants under the category of communication.,Communication,Chatbots and Virtual Assistants
Create a detailed response for a user seeking nutrition and diet planning under the category of healthcare and wellness.,Healthcare and Wellness,Nutrition and Diet Planning
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
Create a detailed response for a user seeking movie and tv show recommendations under the category of entertainment and media.,Entertainment and Media,Movie and TV Show Recommendations
Create a detailed response for a user seeking investment advice under the category of finance and economics.,Finance and Economics,Investment Advice
